Town,Region
T5 R17 WELS,5
Russell Pond Township,5
Big Six Township,5
T6 R18 WELS,5
T6 R17 WELS,5
Saint John Township,5
T7 R19 WELS,5
T7 R18 WELS,5
T7 R17 WELS,5
T7 R16 WELS,5
T8 R19 WELS,5
T8 R18 WELS,5
T8 R17 WELS,5
T8 R16 WELS,5
T9 R18 WELS,5
T9 R17 WELS,5
T9 R16 WELS,5
Big Ten Township,5
T10 R16 WELS,5
Bowdoin College Grant East Township,5
TB R11 WELS,5
TB R10 WELS,5
Shawtown Township,5
TA R11 WELS,5
TA R10 WELS,5
T1 R12 WELS,5
T1 R11 WELS,5
T1 R10 WELS,5
T1 R9 WELS,5
TX R14 WELS,5
T2 R13 WELS,5
T2 R12 WELS,5
Rainbow Township,5
T2 R10 WELS,5
T2 R9 WELS,5
Lobster Township,5
T3 R13 WELS,5
T3 R12 WELS,5
T3 R11 WELS,5
T3 R10 WELS,5
Mount Katahdin Township,5
T4 R15 WELS,5
T4 R14 WELS,5
T4 R13 WELS,5
T4 R12 WELS,5
T4 R11 WELS,5
T4 R10 WELS,5
T4 R9 WELS,5
T5 R15 WELS,5
T5 R14 WELS,5
Chesuncook Township,5
T5 R12 WELS,5
T5 R11 WELS,5
Nesourdnahunk Township,5
T5 R9 WELS,5
T6 R15 WELS,5
T6 R14 WELS,5
T6 R13 WELS,5
T6 R12 WELS,5
T6 R11 WELS,5
T6 R10 WELS,5
Trout Brook Township,5
T7 R15 WELS,5
T7 R14 WELS,5
T7 R13 WELS,5
T7 R12 WELS,5
T7 R11 WELS,5
T7 R10 WELS,5
T7 R9 WELS,5
T8 R15 WELS,5
T8 R14 WELS,5
Eagle Lake Township,5
Soper Mountain Township,5
T8 R11 WELS,5
T8 R10 WELS,5
T8 R9 WELS,5
T9 R15 WELS,5
T9 R14 WELS,5
T9 R13 WELS,5
T9 R12 WELS,5
T9 R11 WELS,5
T9 R10 WELS,5
T9 R9 WELS,5
T10 R15 WELS,5
T10 R14 WELS,5
T10 R13 WELS,5
T10 R12 WELS,5
T10 R11 WELS,5
T10 R10 WELS,5
T10 R9 WELS,5
Long A Township,5
Hopkins Academy Grant Township,5
TA R7 WELS,5
Medway,5
